,movieId,title,tag,genresList,year,soup
0,60756,Step Brothers (2008),funny Highly quotable will ferrell comedy funny will ferrell funny will ferrell,comedy,2008,funny highly quotable will ferrell comedy funny will ferrell funny will ferrell comedy
1,89774,Warrior (2011),Boxing story MMA Tom Hardy,drama,2011,boxing story mma tom hardy drama
2,106782,"Wolf of Wall Street, The (2013)",drugs Leonardo DiCaprio Martin Scorsese Stock Market Wall Street,comedy crime drama,2013,drugs leonardo dicaprio martin scorsese stock market wall street comedy crime drama
3,48516,"Departed, The (2006)",way too long Leonardo DiCaprio suspense twist ending undercover cop atmospheric Jack Nicholson Leonardo DiCaprio Martin Scorsese suspense,crime drama thriller,2006,way too long leonardo dicaprio suspense twist ending undercover cop atmospheric jack nicholson leonardo dicaprio martin scorsese suspense crime drama thriller
4,431,Carlito's Way (1993),Al Pacino gangster mafia,crime drama,1993,al pacino gangster mafia crime drama
5,1221,"Godfather: Part II, The (1974)",Al Pacino Mafia Mafia,crime drama,1974,al pacino mafia mafia crime drama
6,5995,"Pianist, The (2002)",holocaust true story Holocaust,drama war,2002,holocaust true story holocaust drama war
7,44665,Lucky Number Slevin (2006),twist ending,crime drama mystery,2006,twist ending crime drama mystery
8,52604,Fracture (2007),Anthony Hopkins courtroom drama twist ending,crime drama mystery thriller,2007,anthony hopkins courtroom drama twist ending crime drama mystery thriller
9,88094,Upside Down: The Creation Records Story (2010),britpop indie record label music,documentary,2010,britpop indie record label music documentary
10,144210,Just Eat It: A Food Waste Story (2014),dumpster diving Sustainability,documentary,2014,dumpster diving sustainability documentary
11,1569,My Best Friend's Wedding (1997),romantic comedy wedding weddings,comedy romance,1997,romantic comedy wedding weddings comedy romance
12,118985,Big Eyes (2014),painter,drama,2014,painter drama
13,119141,The Interview (2014),bloody bromance comedy funny James Franco Seth Rogen,action comedy,2014,bloody bromance comedy funny james franco seth rogen action comedy
14,109487,Interstellar (2014),black hole sci-fi time-travel Christopher Nolan sci-fi time-travel bad dialogue philosophical issues thought-provoking visually appealing,sci-fi imax,2014,black hole sci-fi time-travel christopher nolan sci-fi time-travel bad dialogue philosophical issues thought-provoking visually appealing sci-fi imax
15,2,Jumanji (1995),fantasy magic board game Robin Williams game,adventure children fantasy,1995,fantasy magic board game robin williams game adventure children fantasy
16,110,Braveheart (1995),beautiful scenery epic historical inspirational Medieval mel gibson Oscar (Best Cinematography) revenge sword fight Scotland,action drama war,1995,beautiful scenery epic historical inspirational medieval mel gibson oscar (best cinematography) revenge sword fight scotland action drama war
17,410,Addams Family Values (1993),black comedy Christina Ricci Christopher Lloyd dark comedy family gothic,children comedy fantasy,1993,black comedy christina ricci christopher lloyd dark comedy family gothic children comedy fantasy
18,2023,"Godfather: Part III, The (1990)",Al Pacino Andy Garcia Classic Francis Ford Coppola mafia,crime drama mystery thriller,1990,al pacino andy garcia classic francis ford coppola mafia crime drama mystery thriller
19,2124,"Addams Family, The (1991)",black comedy Christina Ricci Christopher Lloyd Family gothic quirky,children comedy fantasy,1991,black comedy christina ricci christopher lloyd family gothic quirky children comedy fantasy
20,2953,Home Alone 2: Lost in New York (1992),family funny Macaulay Culkin sequel,children comedy,1992,family funny macaulay culkin sequel children comedy
21,3114,Toy Story 2 (1999),animation Disney funny original Pixar sequel Tom Hanks Pixar,adventure animation children comedy fantasy,1999,animation disney funny original pixar sequel tom hanks pixar adventure animation children comedy fantasy
22,3578,Gladiator (2000),ancient Rome Epic history imdb top 250 revenge Rome Russell Crowe Romans,action adventure drama,2000,ancient rome epic history imdb top 250 revenge rome russell crowe romans action adventure drama
23,4223,Enemy at the Gates (2001),Ed Harris Jude Law Rachel Weisz sniper World War II,drama war,2001,ed harris jude law rachel weisz sniper world war ii drama war
24,5388,Insomnia (2002),Al Pacino atmospheric Hilary Swank Robin Williams atmospheric insomnia thought-provoking,action crime drama mystery thriller,2002,al pacino atmospheric hilary swank robin williams atmospheric insomnia thought-provoking action crime drama mystery thriller
25,6058,Final Destination 2 (2003),sequel violent,horror thriller,2003,sequel violent horror thriller
